gene1,gene2,score
GUSB,MANBA,0.591
GUSB,MAN2B1,0.634
GUSB,MAN2C1,0.661
GM2A,FUCA1,0.42
CD1E,MAN2B1,0.714
CD1B,MAN2B1,0.62
FUCA1,MAN2C1,0.478
FUCA1,MAN2B1,0.593
FUCA1,NAGA,0.621
FUCA1,MANBA,0.649
NAGA,MANBA,0.549
NAGA,MAN2B1,0.743
MAN2B1,MANBA,0.976
MAN2B1,MAN2C1,0.994
MAN2C1,MANBA,0.781
GNS,MAN2B1,0.425
GNS,MAN2B2,0.466
TMEM127,MAN2B2,0.461
SIAE,NAAA,0.621
SIAE,MAN2B2,0.636
MAN2B2,ZPBP2,0.458
MAN2B2,ENOSF1,0.467
MAN2B2,MAN1B1,0.569
MAN2B2,NAAA,0.651
MAN1B1,MAN2B1,0.493
EDEM1,MAN1B1,0.503
EDEM1,MOGS,0.666
EDEM1,MAN2C1,0.942
XRN1,MAN2C1,0.743
MAN2B2,MOGS,0.43
MAN1B1,ENGASE,0.424
PTEN,MAN2C1,0.732
GLYCTK,MAN2C1,0.818
MAN2B1,MOGS,0.406
MOGS,ENGASE,0.508
MAN2C1,ENGASE,0.838
GLA,MAN2B1,0.476
GLA,MAN2C1,0.581
GLA,FUCA1,0.602
GLA,MANBA,0.705
FABP2,MAN2B1,0.505
FABP2,ADH5,0.571
FABP2,MANBA,0.761
ADH5,MANBA,0.648
SGSH,FUCA1,0.4
SGSH,MAN2B1,0.538
SGSH,MANBA,0.901
AMY1B,MANBA,0.692
AMY2B,MANBA,0.694
AMY2A,MANBA,0.69
XBP1,CRELD2,0.505
XBP1,MANF,0.766
SDF2L1,CRELD2,0.937
RTN1,MANF,0.74
HSP90B1,CRELD2,0.677
UBE2N,MANF,0.794
HSPA5,CRELD2,0.718
CRELD2,DNAJB11,0.756
CRELD2,HYOU1,0.8
CRELD2,PDIA4,0.819
CRELD2,MANF,0.936
AOC2,ALDH2,0.968
ALDH2,CYP2D6,0.53
ALDH2,COMT,0.682
ALDH2,AOC1,0.939
ALDH2,AOC3,0.976
LRTOMT,CYP2D6,0.506
MAOA,CYP2D6,0.963
COMT,CYP2D6,0.682
MAOB,CYP2D6,0.961
GABARAPL2,MAP1B,0.905
GABARAPL2,BECN1,0.992
GABARAPL2,SQSTM1,0.999
FXR2,MAP1B,0.872
MAP1B,GABARAPL1,0.903
MAP1B,BECN1,0.924
MAP1B,ATG12,0.925
MAP1B,FMR1,0.957
MAP1B,SQSTM1,0.97
MAP1B,MAP1LC3B,0.971
BECN1,SQSTM1,0.958
BECN1,MAP1LC3A,0.964
BECN1,MAP1LC3B,0.972
BECN1,GABARAPL1,0.987
BECN1,ATG12,0.991
FMR1,GAN,0.428
MAP1LC3A,SQSTM1,0.999
SQSTM1,ATG12,0.981
SQSTM1,MAP1LC3B,0.999
SQSTM1,GABARAPL1,0.999
MAPK1,KSR2,0.587
MAPK1,ARAF,0.657
MAPK1,KSR1,0.712
MAPK1,BRAF,0.949
MAPK1,LAMTOR3,0.961
MAPK1,RAF1,0.975
MAPK1,KRAS,0.988
MAPK1,MAP2K1,0.999
MAPK1,MAP2K2,0.999
KRAS,KSR2,0.609
KRAS,KSR1,0.712
KRAS,MAPK3,0.982
MAP2K2,KSR2,0.811
MAP2K2,LAMTOR3,0.914
MAP2K2,KSR1,0.977
MAP2K2,MAPK3,0.99
MAPK3,ARAF,0.673
MAPK3,KSR2,0.709
MAPK3,KSR1,0.89
MAPK3,BRAF,0.96
MAPK3,RAF1,0.962
MAPK3,LAMTOR3,0.977
MAPK3,MAP2K1,0.999
ARAF,LAMTOR3,0.611
ARAF,KSR2,0.614
ARAF,KSR1,0.68
MAP2K1,KSR1,0.996
MAP2K1,KSR2,0.997
MAP2K1,LAMTOR3,0.998
KSR1,LAMTOR3,0.82
RAF1,LAMTOR3,0.856
BRAF,LAMTOR3,0.589
MAPK1,MAP3K1,0.858
MAPK1,NRAS,0.959
MAPK1,HRAS,0.979
MAP2K2,MAP3K1,0.971
MAPK3,MAP3K1,0.819
MAPK3,NRAS,0.97
MAPK3,HRAS,0.983
MAP2K1,MAP3K1,0.989
NRAS,KSR1,0.793
NRAS,MAP3K1,0.949
MAP3K1,RAF1,0.617
MAP3K1,BRAF,0.618
MAP3K1,HRAS,0.945
TRAF2,MAPK8,0.771
TRAF2,MAP2K7,0.924
TRAF2,MAP3K1,0.984
TRAF2,IKBKB,0.994
TRAF2,CHUK,0.995
MAP2K2,MAPK8,0.924
MAP2K1,CHUK,0.434
MAP2K1,MAP2K4,0.826
MAP2K1,MAPK8,0.934
CHUK,MAP2K4,0.471
CHUK,MAP3K1,0.971
MAPK8,IKBKG,0.426
MAPK8,IKBKB,0.605
MAPK8,TRAF6,0.972
MAPK8,MAP3K1,0.993
MAPK8,MAP2K7,0.996
MAPK8,MAP2K4,0.999
MAP2K7,IKBKG,0.581
MAP2K7,TRAF6,0.593
MAP2K7,MAP2K4,0.956
MAP2K7,MAP3K1,0.981
MAP3K1,TRAF6,0.973
MAP3K1,IKBKG,0.975
MAP3K1,IKBKB,0.982
MAP3K1,MAP2K4,0.995
MAP2K4,IKBKG,0.526
MAP2K4,TRAF6,0.668
LTBR,IKBKB,0.553
LTBR,TRAF6,0.625
LTBR,IKBKG,0.777
LTBR,CHUK,0.823
LTBR,NFKB2,0.901
LTBR,MAP3K14,0.968
LTBR,TRAF2,0.987
LTBR,TRAF5,0.996
LTBR,TRAF3,0.999
TRAF2,NFKB2,0.71
TRAF2,MAP3K7,0.988
TRAF2,MAP3K14,0.995
TRAF5,NFKB2,0.442
TRAF5,MAP3K14,0.945
TRAF5,IKBKB,0.959
TRAF5,CHUK,0.959
TRAF5,IKBKG,0.967
TRAF5,MAP3K7,0.974
MAP3K7,NFKB2,0.472
MAP3K7,MAP3K14,0.959
MAP3K7,TRAF3,0.978
MAP3K7,IKBKB,0.996
NFKB2,TRAF3,0.782
NFKB2,TRAF6,0.788
NFKB2,IKBKG,0.944
NFKB2,IKBKB,0.955
NFKB2,MAP3K14,0.966
NFKB2,CHUK,0.998
CHUK,MAP3K14,0.997
TRAF3,IKBKB,0.863
TRAF3,IKBKG,0.953
TRAF3,MAP3K14,0.994
IKBKB,MAP3K14,0.991
TRAF6,MAP3K14,0.993
MAP3K14,IKBKG,0.994
MAPK14,MAP3K20,0.685
MAPK14,PKN1,0.802
MAPK14,MYD88,0.81
MAPK14,MAP2K7,0.947
MAPK14,MAP2K4,0.987
MAPK14,MAP2K3,0.999
ZNF33A,MAP2K7,0.432
ZNF33A,MAP3K20,0.762
UBE2N,MAP2K7,0.503
UBE2N,MAP2K3,0.512
UBE2N,MAP2K4,0.566
UBE2N,MYD88,0.739
UBE2N,MAP3K20,0.795
PKN1,MAP3K20,0.958
PKN1,MAP2K3,0.965
MAP2K3,MYD88,0.443
MAP2K3,MAP2K4,0.913
MAP2K3,MAP3K20,0.941
ZFP2,MAP3K20,0.638
MAP3K20,MAP2K4,0.713
MAP3K20,MYD88,0.714
MAP3K20,ZNF567,0.834
MAP3K20,MAP2K7,0.953
MAP2K5,CCM2,0.595
MAP2K5,SQSTM1,0.734
MAP2K5,MAP3K2,0.999
MAP2K5,MAP3K3,0.999
MAP2K3,CHUK,0.539
MAP2K3,IKBKG,0.546
MAP2K3,TRAF6,0.704
MAP2K3,MAP3K2,0.947
MAP2K3,MAP2K6,0.989
MAP3K3,MAP2K6,0.927
MAP3K3,IKBKG,0.949
MAP3K3,MAP3K2,0.952
MAP3K3,IKBKB,0.959
MAP3K3,CHUK,0.961
MAP3K3,TRAF6,0.963
MAP3K3,SQSTM1,0.973
CHUK,MAP2K6,0.617
SQSTM1,IKBKG,0.741
SQSTM1,IKBKB,0.854
SQSTM1,TRAF6,0.999
MAP3K2,MAP2K6,0.927
TRAF6,MAP2K6,0.844
MAP2K6,IKBKG,0.621
TNFRSF1A,TAB3,0.711
TNFRSF1A,MYD88,0.818
TNFRSF1A,TAB2,0.998
TNFRSF1A,MAP3K7,0.999
TAB1,MAP2K4,0.94
TAB1,MYD88,0.979
TAB1,TNF,0.998
TAB1,TAB3,0.999
TAB1,MAP3K7,0.999
TAB1,TAB2,0.999
TAB1,TRAF6,0.999
RIPK1,MAP2K4,0.435
RIPK1,MYD88,0.893
RIPK1,TAB3,0.987
RIPK1,MAP3K7,0.996
RIPK1,TAB2,0.999
TAB2,MAP2K4,0.938
TAB2,MYD88,0.99
TAB2,MAP3K7,0.999
TAB2,IKBKG,0.999
TAB2,TAB3,0.999
TAB2,TNF,0.999
MAP3K7,MAP2K4,0.998
MAP3K7,MYD88,0.999
MAP3K7,TAB3,0.999
MAP3K7,TNF,0.999
TAB3,TNF,0.917
TAB3,MAP2K4,0.928
TAB3,MYD88,0.975
TAB3,TRAF6,0.999
TAB3,IKBKG,0.999
TNF,MAP2K4,0.638
NFKB1,MAP3K14,0.676
NFKB1,MAP2K4,0.68
NFKB1,MAP2K1,0.762
NFKB1,AKT1,0.896
NFKB1,TNIP2,0.995
NFKB1,MAP3K8,0.996
MAP2K2,MAP3K14,0.425
MAP2K2,AKT1,0.593
MAP2K2,MAP3K8,0.925
MAP3K8,IKBKG,0.926
MAP3K8,MAP2K4,0.936
MAP3K8,AKT1,0.942
MAP3K8,MAP3K14,0.942
MAP3K8,IKBKB,0.954
MAP3K8,CHUK,0.96
MAP3K8,MAP2K1,0.976
MAP3K8,TNIP2,0.995
MAP2K1,MAP3K14,0.434
MAP2K1,AKT1,0.49
MAP2K1,TNIP2,0.63
TNIP2,MAP2K4,0.547
TNIP2,CHUK,0.775
TNIP2,IKBKG,0.839
TNIP2,IKBKB,0.846
CHUK,AKT1,0.996
MAP2K4,AKT1,0.965
IKBKB,AKT1,0.99
AKT1,MAP3K14,0.668
AKT1,IKBKG,0.982
MAPK1,DUSP1,0.996
MAPK1,STAT3,0.996
MAPK1,PTPN7,0.998
MAPK1,PEA15,0.998
MAPK1,RPS6KA1,0.999
MAPK1,MKNK1,0.999
DUSP1,PTPN7,0.442
DUSP1,STAT3,0.45
DUSP1,MAP2K1,0.699
MAP2K2,TP53,0.426
MAP2K2,MKNK1,0.461
MAP2K2,JUN,0.59
STAT3,RPS6KA1,0.606
STAT3,MAP2K1,0.669
STAT3,JUN,0.995
TP53,MAP2K1,0.667
TP53,RPS6KA1,0.687
MAP2K1,MKNK1,0.527
MAP2K1,PTPN7,0.576
MAP2K1,JUN,0.808
PTPN7,RPS6KA1,0.554
JUN,RPS6KA1,0.58
KLC4,MAPK9,0.909
KLC4,MAPK8IP2,0.911
KLC4,MAPK8,0.917
MAP3K11,KLC2,0.403
MAP3K11,MAPK8,0.67
MAP3K11,MAP2K4,0.829
MAP3K11,MAPK8IP3,0.966
MAP3K11,MAP2K7,0.985
MAP3K11,MAPK8IP2,0.985
MAPK8IP2,KLC1,0.848
MAPK8IP2,KLC2,0.913
MAPK8IP2,MAPK8IP3,0.956
MAPK8IP2,MAPK8,0.971
MAPK8IP2,MAPK9,0.972
MAPK8IP2,MAP2K7,0.997
MAPK8,KLC2,0.918
MAPK8,KLC1,0.922
MAPK8,MAPK8IP3,0.98
MAP2K7,MAPK9,0.976
MAP2K7,MAPK8IP3,0.994
MAP3K1,MAPK9,0.956
MAP3K1,MAPK8IP3,0.964
MAPK9,KLC2,0.908
MAPK9,KLC1,0.912
MAPK9,MAPK8IP3,0.978
MAPK9,MAP2K4,0.999
MAP2K4,MAPK8IP3,0.984
MAPK13,MAPK14,0.587
MAPK13,HSPB1,0.613
MAPK13,RCSD1,0.648
MAPK13,MAPK11,0.765
MAPK13,MAPK12,0.915
MAPK13,MAPKAPK2,0.975
MAPK13,MAPKAPK3,0.981
MAPK12,MAPK14,0.552
MAPK12,HSPB1,0.618
MAPK12,RCSD1,0.746
MAPK12,MAPK11,0.856
MAPK12,MAPKAPK3,0.967
MAPK12,MAPKAPK2,0.974
MAPK14,MAPK11,0.622
MAPK14,PRKY,0.695
MAPK14,HSPB1,0.91
MAPK14,MAPKAPK3,0.996
MAPK14,MAPKAPK2,0.999
HSPB1,MAPK11,0.809
MAPK11,MAPKAPK3,0.994
MAPK11,MAPKAPK2,0.997
ATF4,MAPKAPK3,0.903
ATF4,MAPKAPK2,0.906
MAPKAPK2,RCSD1,0.774
MAPKAPK2,DCX,0.775
RCSD1,MAPKAPK3,0.772
MAPKAPK3,DCX,0.826
MAPKAPK3,PRKY,0.848
DCX,PRKY,0.613
MAPK13,MAPKAPK5,0.945
MAPK13,HSPB2,0.959
MAPK12,HSPB2,0.96
MAPK12,MAPKAPK5,0.966
MAPK14,MAPKAPK5,0.956
MAPK14,HSPB2,0.962
HSPB1,MAPK6,0.612
HSPB1,MAPK4,0.635
DNAJB1,MAPK4,0.54
DNAJB1,MAPK6,0.552
DNAJB1,MAPKAPK5,0.947
MAPK6,MAPK4,0.838
MAPK6,SEPTIN7,0.906
MAPK6,MAPKAPK5,0.997
HSPB2,MAPKAPK5,0.862
HSPB2,MAPK11,0.963
MAPK11,MAPKAPK5,0.953
MAPK4,MAPKAPK5,0.953
SEPTIN7,MAPKAPK5,0.826
SMG6,MAPKBP1,0.454
ANKS6,MAPKBP1,0.488
BAALC,MAPKBP1,0.446
NPHP1,MAPKBP1,0.418
JUN,MAPKBP1,0.491
RCAN3,MAPKBP1,0.44
MAPK8,MAPKBP1,0.482
MAPKBP1,MAPK9,0.534
MAPRE3,KHK,0.772
MAPRE3,MAPRE2,0.881
MAPRE3,CKAP5,0.948
MAPRE3,MAPRE1,0.992
KHK,MAPRE1,0.717
KHK,MAPRE2,0.774
MCM6,CKAP5,0.498
MCM6,MAPRE2,0.846
MAPRE2,RBM15,0.766
MAPRE2,ZNF24,0.782
MAPRE2,CRTAC1,0.782
MAPRE2,RAE1,0.808
MAPRE2,CKAP5,0.85
MAPRE2,MAPRE1,0.851
MAPRE2,RBM15B,0.903
RBM15,RAE1,0.714
RBM15,RBM15B,0.999
MAPRE1,CKAP5,0.954
RAE1,RBM15B,0.893
TUBA4A,APP,0.486
TUBA4A,TUBA1B,0.676
TUBA4A,TUBB2B,0.968
TUBA4A,MAPT,0.981
TUBA4A,TUBB3,0.993
APOE,CDK5,0.631
APOE,GSK3B,0.703
APOE,MAPT,0.991
APOE,SNCA,0.996
TUBB2B,MAPT,0.994
APP,TUBA1B,0.452
APP,FYN,0.78
APP,CDK5,0.868
APP,GSK3B,0.897
APP,MAPT,0.995
TUBB3,MAPT,0.987
TUBB3,TUBA1B,0.999
GSK3B,CDK5,0.627
GSK3B,SNCA,0.67
GSK3B,FYN,0.723
GSK3B,MAPT,0.999
TUBA1B,SNCA,0.636
TUBA1B,MAPT,0.995
MAPT,SNCA,0.994
FYN,SNCA,0.836
CDK5,SNCA,0.672
CNOT2,UBE2G2,0.88
CNOT2,MARCHF6,0.893
DERL1,SQLE,0.41
DERL1,UBE2J2,0.901
DERL1,MARCHF6,0.924
DERL1,SYVN1,0.999
SQLE,MARCHF6,0.894
MARCHF6,OS9,0.874
MARCHF6,SEL1L,0.894
MARCHF6,VCP,0.899
MARCHF6,UBE2J2,0.912
MARCHF6,AMFR,0.948
MARCHF6,SYVN1,0.975
MARCHF6,UBE2G2,0.996
AMFR,UBE2J2,0.652
OS9,UBE2J2,0.454
OS9,SYVN1,0.999
SEL1L,UBE2J2,0.547
UBE2G2,UBE2J2,0.849
UBE2G2,SYVN1,0.858
VCP,UBE2J2,0.87
SYVN1,UBE2J2,0.557
YWHAH,CLASP2,0.43
YWHAH,MAPT,0.633
YWHAH,MARK2,0.832
YWHAH,MARK3,0.833
YWHAH,YWHAQ,0.911
YWHAH,YWHAB,0.97
YWHAH,YWHAZ,0.972
PRKCI,YWHAZ,0.515
PRKCI,MARK2,0.796
CLASP2,MARK3,0.754
CLASP2,MARK2,0.794
MAPT,MARK2,0.865
MAPT,YWHAB,0.899
MAPT,YWHAQ,0.958
MAPT,YWHAZ,0.974
MTCL1,MARK2,0.888
YWHAB,MARK2,0.845
YWHAB,MARK3,0.926
YWHAB,YWHAQ,0.978
YWHAB,YWHAZ,0.992
SF1,MARK2,0.789
YWHAQ,MARK3,0.774
YWHAQ,MARK2,0.801
YWHAZ,MARK2,0.834
YWHAZ,MARK3,0.928
MARK2,MARK3,0.804
YWHAH,YWHAE,0.948
YWHAH,YWHAG,0.97
YWHAH,CDC25C,0.989
YWHAE,MARK2,0.757
YWHAE,MARK3,0.847
YWHAE,YWHAB,0.979
YWHAE,YWHAG,0.988
YWHAE,YWHAZ,0.998
YWHAE,CDC25C,0.999
YWHAG,KSR1,0.42
YWHAG,MARK2,0.787
YWHAG,MARK3,0.888
YWHAG,YWHAB,0.953
YWHAG,CDC25C,0.979
YWHAG,YWHAZ,0.985
F2R,MARK3,0.782
CDC25C,KSR1,0.561
CDC25C,MAP4,0.635
CDC25C,MARK3,0.945
CDC25C,YWHAB,0.995
CDC25C,YWHAZ,0.999
MAP4,MARK2,0.419
MAP4,KSR1,0.554
MAP4,MARK3,0.853
YWHAB,KSR1,0.734
YWHAZ,KSR1,0.481
KSR1,MARK3,0.976
AIMP2,YARS1,0.632
RARS1,YARS1,0.942
DARS1,YARS1,0.859
YARS1,EEF1E1,0.525
MARS2,YARS1,0.975
QARS1,EARS2,0.7
IARS1,EARS2,0.912
LARS1,EARS2,0.924
CGN,MARVELD3,0.544
CGN,CLDN3,0.569
CGN,CLDN7,0.653
CGN,MARVELD2,0.989
CGN,OCLN,0.995
CGN,TJP3,0.997
CGN,TJP2,0.999
MARVELD3,LSR,0.523
MARVELD3,TJP2,0.586
MARVELD3,TJP1,0.679
MARVELD3,F11R,0.687
MARVELD3,TJP3,0.718
MARVELD3,CLDN7,0.756
MARVELD3,CLDN3,0.821
MARVELD3,OCLN,0.89
MARVELD3,MARVELD2,0.928
MARVELD2,CLDN3,0.908
MARVELD2,F11R,0.931
MARVELD2,LSR,0.949
MARVELD2,CLDN7,0.964
MARVELD2,TJP3,0.995
MARVELD2,TJP2,0.997
MARVELD2,TJP1,0.999
OCLN,LSR,0.567
CLDN7,LSR,0.511
CLDN7,F11R,0.982
F11R,LSR,0.439
F11R,CLDN3,0.706
CLDN3,LSR,0.44
TJP3,LSR,0.43
FCN3,SERPING1,0.609
FCN3,C4A,0.767
SERPING1,COLEC11,0.471
SERPING1,FCN2,0.671
SERPING1,MASP1,0.99
SERPING1,MASP2,0.999
FCN2,C4A,0.791
MASP1,C4A,0.942
COLEC10,C4A,0.588
FCN1,C4A,0.744
C4A,COLEC11,0.701
FCN3,C4B,0.747
FCN2,C4B,0.772
MASP1,C4B,0.935
COLEC10,C4B,0.583
FCN1,C4B,0.72
COLEC11,C4B,0.664
MAST1,ARPP19,0.402
MAST1,CACNG2,0.417
MAST1,NEK2,0.496
MAST1,ACE2,0.51
MAST1,PTEN,0.551
MAST1,TMEM145,0.619
MAST1,SNTB2,0.76
MAST1,MAGI2,0.77
ABTB1,MAST3,0.437
ABTB1,PTEN,0.489
YWHAH,MAST3,0.458
MAST3,DLG1,0.416
MAST3,FRMD1,0.475
MAST3,ENSA,0.496
MAST3,NEK2,0.497
MAST3,ARPP19,0.632
MAST3,SNTB2,0.643
MAST3,PTEN,0.694
MAST3,MAGI3,0.763
MAGI3,DLG1,0.607
ENSA,ARPP19,0.565
DLG1,PTEN,0.996
BHMT2,TAT,0.938
BHMT2,MAT2B,0.95
BHMT2,MAT2A,0.973
BHMT2,MAT1A,0.981
DNMT3A,MTHFR,0.41
DNMT3A,MAT1A,0.924
DNMT3A,MAT2A,0.931
DNMT3A,MAT2B,0.932
BHMT,TAT,0.936
BHMT,MAT2B,0.965
BHMT,MAT2A,0.982
BHMT,MAT1A,0.988
MAT2A,MTHFR,0.916
MAT2A,DNMT3B,0.934
MAT2A,DNMT1,0.936
MAT2A,TAT,0.945
MAT2A,MTR,0.981
MAT2A,MAT1A,0.991
MAT2A,MAT2B,0.999
MAT2B,MTHFR,0.464
MAT2B,TAT,0.914
MAT2B,DNMT3B,0.924
MAT2B,DNMT1,0.94
MAT2B,MTR,0.954
MAT2B,MAT1A,0.995
DNMT3B,MTHFR,0.475
DNMT3B,MAT1A,0.931
TAT,MTR,0.928
TAT,MAT1A,0.952
DNMT1,MTHFR,0.509
DNMT1,MAT1A,0.929
MTR,MAT1A,0.985
MAT1A,MTHFR,0.936
COMP,SLC26A2,0.446
COMP,ASPN,0.573
COMP,COL9A1,0.607
COMP,COL9A3,0.734
COMP,COL9A2,0.736
FRZB,GDF5,0.764
FRZB,CTDSP2,0.886
FRZB,ASPN,0.902
FRZB,MATN3,0.953
COL9A1,GDF5,0.439
COL9A1,ASPN,0.538
COL9A1,ACAN,0.696
COL9A2,ACAN,0.587
COL9A2,ASPN,0.679
GDF5,ACAN,0.714
GDF5,CTDSP2,0.75
GDF5,MATN3,0.765
GDF5,ASPN,0.786
ASPN,ACAN,0.566
ASPN,COL9A3,0.705
ASPN,CTDSP2,0.841
ASPN,MATN3,0.94
CTDSP2,MATN3,0.926
ACAN,COL9A3,0.468
TARDBP,PSPC1,0.74
TARDBP,RBM14,0.766
TARDBP,NONO,0.847
TARDBP,MATR3,0.995
NONO,HNRNPH1,0.71
NONO,HNRNPK,0.749
NONO,HNRNPC,0.841
NONO,HNRNPM,0.913
NONO,HNRNPA1,0.945
NONO,MATR3,0.993
NONO,RBM14,0.998
NONO,SFPQ,0.999
NONO,PSPC1,0.999
RBM14,HNRNPC,0.758
RBM14,HNRNPM,0.853
RBM14,HNRNPA1,0.883
RBM14,HNRNPK,0.909
RBM14,HNRNPH1,0.914
RBM14,MATR3,0.949
RBM14,PSPC1,0.991
RBM14,SFPQ,0.997
HNRNPM,PSPC1,0.52
HNRNPM,SFPQ,0.968
HNRNPA1,PSPC1,0.416
HNRNPA1,SFPQ,0.97
PSPC1,HNRNPK,0.474
PSPC1,MATR3,0.923
PSPC1,SFPQ,0.999
HNRNPH1,SFPQ,0.913
SFPQ,HNRNPK,0.913
SFPQ,MATR3,0.974
MATR3,HNRNPC,0.946
MGA,MXD1,0.569
MGA,RUVBL2,0.903
MGA,RNF2,0.966
MGA,E2F6,0.989
MGA,MAX,0.995
MAPK14,RNF2,0.499
MAPK14,MYC,0.71
MAPK14,MAX,0.976
MXD1,MYCL,0.405
MXD1,MYCN,0.413
MXD1,MXI1,0.628
MXD1,MYC,0.919
MXD1,MAX,0.999
MYCN,E2F6,0.442
MYCN,RNF2,0.49
MYCN,MXI1,0.564
MYCN,MYC,0.933
MYCN,MAX,0.996
MXI1,MYCL,0.44
MXI1,E2F6,0.656
MXI1,MYC,0.904
MXI1,MAX,0.998
MAX,RUVBL2,0.95
MAX,MYCL,0.962
MAX,RNF2,0.965
MAX,E2F6,0.984
MAX,MYC,0.999
RNF2,MYC,0.49
RNF2,RUVBL2,0.916
RNF2,E2F6,0.995
E2F6,MYC,0.725
E2F6,RUVBL2,0.908
MYCL,RUVBL2,0.692
RUVBL2,MYC,0.96
TG,CYCS,0.587
TG,INS,0.61
TG,MB,0.972
ALB,MT-CYB,0.422
ALB,CYCS,0.986
NGB,HP,0.52
NGB,CYB5A,0.638
NGB,CYB5B,0.639
NGB,CYCS,0.942
NGB,MB,0.964
CYCS,RNASE1,0.964
CYB5B,MB,0.988
HP,INS,0.555
MB,RNASE1,0.93
MB,MT-CYB,0.968
MB,INS,0.984
INS,RNASE1,0.577
APEX1,MLH1,0.663
APEX1,MBD4,0.791
APEX1,SMUG1,0.852
APEX1,TDG,0.905
MLH1,SMUG1,0.421
MLH1,TDG,0.446
MLH1,DNMT3A,0.496
MLH1,DNMT3B,0.51
MLH1,TRDMT1,0.545
MLH1,DNMT1,0.607
MLH1,MBD4,0.966
MBD4,UHRF1,0.771
MBD4,MBD2,0.78
MBD4,TRDMT1,0.806
MBD4,SMUG1,0.862
MBD4,DNMT3A,0.901
MBD4,TDG,0.902
MBD4,DNMT1,0.925
MBD4,DNMT3B,0.96
MBD2,TRDMT1,0.469
MBD2,DNMT3B,0.711
MBD2,DNMT3A,0.92
MBD2,DNMT1,0.983
DNMT3A,TRDMT1,0.926
DNMT3A,TDG,0.933
DNMT3B,TDG,0.905
DNMT3B,TRDMT1,0.933
DNMT1,SMUG1,0.451
DNMT1,TRDMT1,0.602
DNMT1,TDG,0.794
TRDMT1,UHRF1,0.457
TRDMT1,TDG,0.579
TDG,UHRF1,0.625
TDG,SMUG1,0.922
SMUG1,UHRF1,0.407
EPC2,MBD5,0.615
EPC2,HCFC1,0.72
KDM1B,EHMT1,0.445
ASXL1,MBD5,0.802
CDKL5,MBD5,0.586
MBD5,EHMT1,0.611
PNPLA3,TMC4,0.696
PNPLA3,GCKR,0.701
PNPLA3,LYPLAL1,0.77
PNPLA3,HSD17B13,0.878
PNPLA3,MBOAT7,0.886
PNPLA3,TM6SF2,0.916
LENG1,TMC4,0.428
LENG1,MBOAT7,0.689
MBOAT7,GCKR,0.596
MBOAT7,LYPLAL1,0.621
MBOAT7,HSD17B13,0.874
MBOAT7,TMC4,0.901
MBOAT7,TM6SF2,0.909
MBOAT7,AGPAT4,0.915
MBOAT7,AGPAT3,0.931
MBOAT7,LCLAT1,0.94
GCKR,HSD17B13,0.491
GCKR,LYPLAL1,0.665
GCKR,TM6SF2,0.701
HSD17B13,LYPLAL1,0.558
HSD17B13,TMC4,0.642
HSD17B13,TM6SF2,0.881
LYPLAL1,TM6SF2,0.722
TM6SF2,TMC4,0.728
CREB3L3,SREBF1,0.435
CREB3L3,ATF6,0.754
SCAP,ATF6,0.745
SCAP,MBTPS2,0.918
SCAP,MBTPS1,0.948
SCAP,SREBF1,0.998
SCAP,SREBF2,0.999
CREB3L4,MBTPS1,0.888
CREB3L2,ATF6,0.423
CREB3,ATF6,0.609
MBTPS1,SREBF1,0.885
MBTPS1,SREBF2,0.9
SREBF1,ATF6,0.566
SREBF1,MBTPS2,0.923
SREBF2,ATF6,0.911
SREBF2,MBTPS2,0.93
ATF6,CREB3L1,0.747
SAMM50,MBTPS2,0.906
MGRN1,ASIP,0.571
MGRN1,MC1R,0.881
TYR,ASIP,0.793
SLC45A2,ASIP,0.767
SLC45A2,TYRP1,0.959
SLC24A5,ASIP,0.748
SLC24A5,MC1R,0.858
SLC24A5,TYRP1,0.899
OCA2,ASIP,0.811
OCA2,MC1R,0.936
GNAS,MC1R,0.929
GNB1,POMC,0.908
GNB1,MC1R,0.909
TYRP1,POMC,0.729
TYRP1,ASIP,0.818
TYRP1,MC1R,0.934
POMC,ASIP,0.905
MC1R,ASIP,0.999
TSHB,VIP,0.431
TSHB,MC2R,0.922
MRAP2,MRAP,0.589
MRAP2,POMC,0.629
MRAP2,MC2R,0.941
MC2R,NPPA,0.912
MC2R,GIP,0.921
MC2R,GCG,0.924
MC2R,GNAS,0.935
MC2R,VIP,0.941
MC2R,MRAP,0.999
MC2R,POMC,0.999
VIP,NPPA,0.449
VIP,FSHB,0.449
GNAS,MRAP,0.428
MRAP,POMC,0.998
ERAL1,NDUFAB1,0.457
ERAL1,OXSM,0.478
ERAL1,MCAT,0.949
ERAL1,MRPS6,0.985
PALB2,MRPS6,0.454
PALB2,MRPS16,0.602
PALB2,ACSF3,0.652
PALB2,FASN,0.868
PALB2,OXSM,0.955
PALB2,MCAT,0.958
OXSM,MRPS6,0.482
OXSM,ACACB,0.703
OXSM,ACACA,0.751
OXSM,MCAT,0.999
MCAT,MRPS6,0.946
MCAT,MRPS16,0.967
MCAT,NDUFAB1,0.993
ACACB,ACSF3,0.924
MRPS16,NDUFAB1,0.641
MRPS6,NDUFAB1,0.522
NDUFAB1,ACSF3,0.66
BYSL,MCC,0.931
BYSL,NGDN,0.998
BYSL,RRP9,0.999
RRP9,MCC,0.894
RRP9,NGDN,0.998
RRP9,UTP6,0.999
RRP9,UTP4,0.999
